Year,Recruitment_Age0_thousands,SSB_tonnes,Landings_tonnes,F_weighted_ages5_14
1950,751000000,14200000,826000,0.0584
1951,146000000,12500000,1280000,0.0697
1952,96600000,10900000,1250000,0.0728
1953,86100000,9350000,1070000,0.0663
1954,42100000,8660000,1640000,0.1130
1955,25000000,9270000,1360000,0.0783
1956,29900000,10900000,1660000,0.1100
1957,25400000,9650000,1320000,0.1030
1958,23100000,8690000,986000,0.0787
1959,412000000,7180000,1110000,0.1130
1960,198000000,5850000,1100000,0.1360
1961,76100000,4390000,830000,0.1040
1962,19000000,3440000,849000,0.1460
1963,169000000,2670000,985000,0.2530
1964,93900000,2530000,1280000,0.2260
1965,8490000,3060000,1550000,0.2780
1966,51400000,2800000,1960000,0.6960
1967,3950000,1470000,1680000,1.5200
1968,5190000,344000,712000,3.4900
1969,9780000,145000,67800,0.5900
1970,661000,71000,62300,1.3200
1971,236000,32000,21100,1.5300
1972,957000,16000,13200,1.5000
1973,12900000,85000,7020,1.1700
1974,8630000,91000,7620,0.1140
1975,2970000,79000,13700,0.1900
1976,10100000,138000,10400,0.1060
1977,5100000,286000,22700,0.1110
1978,6200000,358000,19800,0.0434
1979,12500000,388000,12900,0.0238
1980,1470000,471000,18600,0.0341
1981,1100000,504000,13700,0.0215
1982,2340000,503000,16700,0.0200
1983,343000000,575000,23100,0.0291
1984,11500000,602000,53500,0.0903
1985,36600000,515000,170000,0.3790
1986,6040000,437000,225000,1.0700
1987,9090000,926000,127000,0.4040
1988,26073900,2002000,135301,0.049
1989,71555300,3253000,103830,0.031
1990,109336800,3833000,86411,0.022
1991,308890700,3741000,84683,0.024
1992,368283300,3823000,104448,0.028
1993,113172700,3769000,232457,0.065
1994,38661700,3898000,479228,0.133
1995,19594700,3857000,905501,0.235
1996,58595400,4333000,1220283,0.202
1997,33552200,5547000,1426507,0.190
1998,208990500,6229000,1223131,0.161
1999,167923200,6347000,1235433,0.198
2000,57648300,5390000,1207201,0.231
2001,34915000,4381000,766136,0.196
2002,350093900,3796000,807795,0.216
2003,159927700,4408000,789510,0.150
2004,286574800,5413000,794066,0.130
2005,72271900,5445000,1003243,0.176
2006,83338500,5641000,968958,0.184
2007,30173000,6276000,1266993,0.158
2008,20350400,6820000,1545656,0.199
2009,69104000,7829000,1687373,0.191
2010,15306800,7408000,1457014,0.198
2011,34827200,6392000,992998,0.147
2012,18199600,5634000,825999,0.146
2013,100480500,5000000,684743,0.138
2014,47406000,4455000,461306,0.110
2015,,3946000,, 
