year,month,nao
1950,jan,0.92
1950,feb,0.4
1950,mar,-0.36
1950,apr,0.73
1950,may,-0.59
1950,jun,-0.06
1950,jul,-1.26
1950,aug,-0.05
1950,sep,0.25
1950,oct,0.85
1950,nov,-1.26
1950,dec,-1.02
1951,jan,0.08
1951,feb,0.7
1951,mar,-1.02
1951,apr,-0.22
1951,may,-0.59
1951,jun,-1.64
1951,jul,1.37
1951,aug,-0.22
1951,sep,-1.36
1951,oct,1.87
1951,nov,-0.39
1951,dec,1.32
1952,jan,0.93
1952,feb,-0.83
1952,mar,-1.49
1952,apr,1.01
1952,may,-1.12
1952,jun,-0.4
1952,jul,-0.09
1952,aug,-0.28
1952,sep,-0.54
1952,oct,-0.73
1952,nov,-1.13
1952,dec,-0.43
1953,jan,0.33
1953,feb,-0.49
1953,mar,-0.04
1953,apr,-1.67
1953,may,-0.66
1953,jun,1.09
1953,jul,0.4
1953,aug,-0.71
1953,sep,-0.35
1953,oct,1.32
1953,nov,1.04
1953,dec,-0.47
1954,jan,0.37
1954,feb,0.74
1954,mar,-0.83
1954,apr,1.34
1954,may,-0.09
1954,jun,-0.25
1954,jul,-0.6
1954,aug,-1.9
1954,sep,-0.44
1954,oct,0.6
1954,nov,0.4
1954,dec,0.69
1955,jan,-1.84
1955,feb,-1.12
1955,mar,-0.53
1955,apr,-0.42
1955,may,-0.34
1955,jun,-1.1
1955,jul,1.76
1955,aug,1.07
1955,sep,0.32
1955,oct,-1.47
1955,nov,-1.29
1955,dec,0.17
1956,jan,-0.22
1956,feb,-1.12
1956,mar,-0.05
1956,apr,-1.06
1956,may,2.21
1956,jun,0.1
1956,jul,-0.75
1956,aug,-1.37
1956,sep,0.24
1956,oct,0.88
1956,nov,0.51
1956,dec,0.1
1957,jan,1.05
1957,feb,0.11
1957,mar,-1.26
1957,apr,0.49
1957,may,-0.79
1957,jun,-0.72
1957,jul,-1.19
1957,aug,-0.55
1957,sep,-1.66
1957,oct,1.32
1957,nov,0.73
1957,dec,0.12
1958,jan,-0.54
1958,feb,-1.06
1958,mar,-1.96
1958,apr,0.37
1958,may,-0.24
1958,jun,-1.38
1958,jul,-1.73
1958,aug,-1.56
1958,sep,-0.07
1958,oct,0.16
1958,nov,1.64
1958,dec,-0.7
1959,jan,-0.87
1959,feb,0.68
1959,mar,-0.15
1959,apr,0.36
1959,may,0.39
1959,jun,0.4
1959,jul,0.74
1959,aug,0.06
1959,sep,0.88
1959,oct,0.89
1959,nov,0.41
1959,dec,0.44
1960,jan,-1.29
1960,feb,-1.89
1960,mar,-0.5
1960,apr,1.36
1960,may,0.45
1960,jun,-0.21
1960,jul,0.35
1960,aug,-1.4
1960,sep,0.39
1960,oct,-1.73
1960,nov,-0.51
1960,dec,0.06
1961,jan,0.41
1961,feb,0.45
1961,mar,0.55
1961,apr,-1.55
1961,may,-0.36
1961,jun,0.86
1961,jul,-0.39
1961,aug,0.9
1961,sep,1.24
1961,oct,0.51
1961,nov,-0.62
1961,dec,-1.48
1962,jan,0.61
1962,feb,0.55
1962,mar,-2.47
1962,apr,0.99
1962,may,-0.1
1962,jun,0.16
1962,jul,-2.47
1962,aug,0.14
1962,sep,-0.37
1962,oct,0.41
1962,nov,-0.23
1962,dec,-1.32
1963,jan,-2.12
1963,feb,-0.96
1963,mar,-0.43
1963,apr,-1.35
1963,may,2.16
1963,jun,-0.43
1963,jul,-0.77
1963,aug,-0.64
1963,sep,1.79
1963,oct,0.94
1963,nov,-1.27
1963,dec,-1.92
1964,jan,-0.95
1964,feb,-1.43
1964,mar,-1.2
1964,apr,0.36
1964,may,0.52
1964,jun,1.29
1964,jul,1.9
1964,aug,-1.77
1964,sep,0.2
1964,oct,0.74
1964,nov,-0.01
1964,dec,-0.15
1965,jan,-0.12
1965,feb,-1.55
1965,mar,-1.51
1965,apr,0.72
1965,may,-0.62
1965,jun,0.29
1965,jul,0.32
1965,aug,0.45
1965,sep,0.37
1965,oct,0.38
1965,nov,-1.66
1965,dec,1.37
1966,jan,-1.74
1966,feb,-1.39
1966,mar,0.56
1966,apr,-0.75
1966,may,0.22
