year,age,day,month,maturity,lat,gear,length,date
1944,7,27,1,5,60.75,3710,31,1944-01-27
1944,6,27,1,5,60.75,3710,31,1944-01-27
1944,9,27,1,5,60.75,3710,32,1944-01-27
1944,10,27,1,5,60.75,3710,31,1944-01-27
1944,6,27,1,3,60.75,3710,28,1944-01-27
1944,16,27,1,4,60.75,3710,35,1944-01-27
1944,6,27,1,3,60.75,3710,29,1944-01-27
1944,7,27,1,5,60.75,3710,31,1944-01-27
1944,9,27,1,5,60.75,3710,33,1944-01-27
1944,4,27,1,5,60.75,3710,30,1944-01-27
1944,11,27,1,5,60.75,3710,33,1944-01-27
1944,10,27,1,4,60.75,3710,32,1944-01-27
1944,7,27,1,5,60.75,3710,30,1944-01-27
1944,12,27,1,4,60.75,3710,33,1944-01-27
1944,9,27,1,5,60.75,3710,33,1944-01-27
1944,6,27,1,3,60.75,3710,28,1944-01-27
1944,7,27,1,4,60.75,3710,32,1944-01-27
1944,7,27,1,5,60.75,3710,31,1944-01-27
1944,6,27,1,5,60.75,3710,29,1944-01-27
1944,5,27,1,3,60.75,3710,25,1944-01-27
1944,19,27,1,5,60.75,3710,35,1944-01-27
1944,6,27,1,5,60.75,3710,31,1944-01-27
1944,4,27,1,3,60.75,3710,28,1944-01-27
1944,10,27,1,5,60.75,3710,33,1944-01-27
1944,10,27,1,4,60.75,3710,33,1944-01-27
1944,10,27,1,5,60.75,3710,32,1944-01-27
1944,10,27,1,5,60.75,3710,33,1944-01-27
1944,9,27,1,5,60.75,3710,32,1944-01-27
1944,9,27,1,4,60.75,3710,32,1944-01-27
1944,6,27,1,4,60.75,3710,30,1944-01-27
1944,7,27,1,4,60.75,3710,29,1944-01-27
1944,11,27,1,4,60.75,3710,33,1944-01-27
1944,7,27,1,5,60.75,3710,31,1944-01-27
1944,7,27,1,5,60.75,3710,29,1944-01-27
1944,6,27,1,5,60.75,3710,30,1944-01-27
1944,11,27,1,5,60.75,3710,34,1944-01-27
1944,10,27,1,4,60.75,3710,33,1944-01-27
1944,6,27,1,5,60.75,3710,31,1944-01-27
1944,7,27,1,4,60.75,3710,31,1944-01-27
1944,7,27,1,4,60.75,3710,30,1944-01-27
1944,13,27,1,5,60.75,3710,33,1944-01-27
1944,11,27,1,5,60.75,3710,34,1944-01-27
1944,11,27,1,5,60.75,3710,32,1944-01-27
1944,11,27,1,5,60.75,3710,34,1944-01-27
1944,12,27,1,5,60.75,3710,34,1944-01-27
1944,7,27,1,4,60.75,3710,31,1944-01-27
1944,6,27,1,4,60.75,3710,30,1944-01-27
1944,7,27,1,4,60.75,3710,31,1944-01-27
1944,8,27,1,5,60.75,3710,33,1944-01-27
1944,14,27,1,4,60.75,3710,38,1944-01-27
1944,7,27,1,5,60.75,3710,31,1944-01-27
1944,7,27,1,5,60.75,3710,30,1944-01-27
1944,10,27,1,5,60.75,3710,32,1944-01-27
1944,12,27,1,5,60.75,3710,34,1944-01-27
1944,7,27,1,5,60.75,3710,32,1944-01-27
1944,10,27,1,4,60.75,3710,33,1944-01-27
1944,19,27,1,4,60.75,3710,36,1944-01-27
1944,10,27,1,5,60.75,3710,32,1944-01-27
1944,9,27,1,5,60.75,3710,32,1944-01-27
1944,7,27,1,5,60.75,3710,29,1944-01-27
1944,11,27,1,5,60.75,3710,33,1944-01-27
1944,12,27,1,5,60.75,3710,33,1944-01-27
1944,9,27,1,5,60.75,3710,33,1944-01-27
1944,9,27,1,5,60.75,3710,34,1944-01-27
1944,7,27,1,5,60.75,3710,31,1944-01-27
1944,7,27,1,5,60.75,3710,31,1944-01-27
1944,7,27,1,5,60.75,3710,30,1944-01-27
1944,7,27,1,4,60.75,3710,33,1944-01-27
1944,9,27,1,5,60.75,3710,31,1944-01-27
1944,7,27,1,5,60.75,3710,31,1944-01-27
1944,10,27,1,5,60.75,3710,32,1944-01-27
1944,6,27,1,5,60.75,3710,30,1944-01-27
1944,6,27,1,5,60.75,3710,29,1944-01-27
1944,6,27,1,4,60.75,3710,30,1944-01-27
1944,11,27,1,5,60.75,3710,33,1944-01-27
1944,10,27,1,4,60.75,3710,32,1944-01-27
1944,10,27,1,5,60.75,3710,33,1944-01-27
1944,6,27,1,4,60.75,3710,28,1944-01-27
1944,11,27,1,5,60.75,3710,34,1944-01-27
1944,9,27,1,5,60.75,3710,32,1944-01-27
1944,10,27,1,5,60.75,3710,31,1944-01-27
1944,12,27,1,5,60.75,3710,34,1944-01-27
1944,12,27,1,4,60.75,3710,34,1944-01-27
1944,10,27,1,4,60.75,3710,34,1944-01-27
1944,6,27,1,3,60.75,3710,31,1944-01-27
1944,6,27,1,5,60.75,3710,31,1944-01-27
1944,9,27,1,5,60.75,3710,32,1944-01-27
1944,7,27,1,4,60.75,3710,31,1944-01-27
1944,12,27,1,4,60.75,3710,34,1944-01-27
1944,10,27,1,5,60.75,3710,33,1944-01-27
1944,10,27,1,5,60.75,3710,32,1944-01-27
1944,7,27,1,4,60.75,3710,30,1944-01-27
1944,10,27,1,5,60.75,3710,33,1944-01-27
1944,8,27,1,5,60.75,3710,32,1944-01-27
1944,13,27,1,5,60.75,3710,33,1944-01-27
1944,9,27,1,5,60.75,3710,31,1944-01-27
1944,12,27,1,4,60.75,3710,33,1944-01-27
1944,11,27,1,4,60.75,3710,34,1944-01-27
1944,7,27,1,5,60.75,3710,30,1944-01-27
1944,10,27,1,5,60.75,3710,32,1944-01-27
1944,7,27,1,5,60.75,3710,33,1944-01-27
1944,11,27,1,5,60.75,3710,33,1944-01-27
1944,6,27,1,5,60.75,3710,29,1944-01-27
1944,11,27,1,5,60.75,3710,32,1944-01-27
1944,10,27,1,5,60.75,3710,33,1944-01-27
1944,7,27,1,4,60.75,3710,29,1944-01-27
1944,10,27,1,5,60.75,3710,32,1944-01-27
1944,11,27,1,5,60.75,3710,34,1944-01-27
1944,7,27,1,5,60.75,3710,30,1944-01-27
1944,7,27,1,5,60.75,3710,31,1944-01-27
1944,8,27,1,5,60.75,3710,29,1944-01-27
1944,7,27,1,4,60.75,3710,29,1944-01-27
1944,14,27,1,4,60.75,3710,33,1944-01-27
1944,10,27,1,5,60.75,3710,32,1944-01-27
1944,9,27,1,5,60.75,3710,31,1944-01-27
1944,10,27,1,5,60.75,3710,31,1944-01-27
1944,5,27,1,5,60.75,3710,30,1944-01-27
1944,6,27,1,4,60.75,3710,32,1944-01-27
1944,6,27,1,5,60.75,3710,28,1944-01-27
1944,6,27,1,5,60.75,3710,31,1944-01-27
1944,16,27,1,4,60.75,3710,35,1944-01-27
1944,7,27,1,5,60.75,3710,29,1944-01-27
1944,10,27,1,4,60.75,3710,33,1944-01-27
1944,10,27,1,5,60.75,3710,33,1944-01-27
1944,18,27,1,5,60.75,3710,35,1944-01-27
1944,11,27,1,5,60.75,3710,32,1944-01-27
1944,11,27,1,5,60.75,3710,33,1944-01-27
1944,7,27,1,4,60.75,3710,30,1944-01-27
1944,8,27,1,5,60.75,3710,32,1944-01-27
1944,7,27,1,5,60.75,3710,31,1944-01-27
1944,10,27,1,4,60.75,3710,32,1944-01-27
1944,7,27,1,5,60.75,3710,30,1944-01-27
1944,11,27,1,5,60.75,3710,34,1944-01-27
1944,7,27,1,5,60.75,3710,32,1944-01-27
1944,11,27,1,5,60.75,3710,33,1944-01-27
1944,4,27,1,3,60.75,3710,25,1944-01-27
1944,7,27,1,5,60.75,3710,30,1944-01-27
1944,6,27,1,3,60.75,3710,29,1944-01-27
1944,7,27,1,5,60.75,3710,30,1944-01-27
1944,7,27,1,5,60.75,3710,30,1944-01-27
1944,7,27,1,5,60.75,3710,32,1944-01-27
1944,7,27,1,4,60.75,3710,31,1944-01-27
1944,7,27,1,5,60.75,3710,31,1944-01-27
1944,11,27,1,5,60.75,3710,33,1944-01-27
1944,10,27,1,5,60.75,3710,31,1944-01-27
1944,6,27,1,3,60.75,3710,29,1944-01-27
1944,4,27,1,3,60.75,3710,29,1944-01-27
1944,10,27,1,5,60.75,3710,32,1944-01-27
1944,10,27,1,5,60.75,3710,33,1944-01-27
1944,11,27,1,5,60.75,3710,34,1944-01-27
1944,12,27,1,5,60.75,3710,34,1944-01-27
1944,11,27,1,5,60.75,3710,33,1944-01-27
1944,10,27,1,5,60.75,3710,31,1944-01-27
1944,7,27,1,4,60.75,3710,30,1944-01-27
1944,10,27,1,4,60.75,3710,35,1944-01-27
1944,7,27,1,5,60.75,3710,30,1944-01-27
1944,7,27,1,5,60.75,3710,30,1944-01-27
1944,7,27,1,5,60.75,3710,32,1944-01-27
1944,13,27,1,5,60.75,3710,34,1944-01-27
1944,11,27,1,5,60.75,3710,34,1944-01-27
1944,9,27,1,5,60.75,3710,32,1944-01-27
1944,7,27,1,5,60.75,3710,30,1944-01-27
1944,12,27,1,5,60.75,3710,32,1944-01-27
1944,7,27,1,5,60.75,3710,30,1944-01-27
1944,7,27,1,5,60.75,3710,31,1944-01-27
1944,10,27,1,5,60.75,3710,33,1944-01-27
1944,7,27,1,5,60.75,3710,30,1944-01-27
1944,7,27,1,5,60.75,3710,30,1944-01-27
1944,10,27,1,4,60.75,3710,33,1944-01-27
1944,7,27,1,5,60.75,3710,30,1944-01-27
1944,14,27,1,5,60.75,3710,32,1944-01-27
1944,12,27,1,5,60.75,3710,34,1944-01-27
1944,10,27,1,4,60.75,3710,32,1944-01-27
1944,12,27,1,5,60.75,3710,33,1944-01-27
1944,11,27,1,5,60.75,3710,33,1944-01-27
1944,9,27,1,5,60.75,3710,33,1944-01-27
1944,6,27,1,5,60.75,3710,31,1944-01-27
1944,11,27,1,5,60.75,3710,34,1944-01-27
1944,7,27,1,4,60.75,3710,30,1944-01-27
1944,7,27,1,5,60.75,3710,31,1944-01-27
1944,5,27,1,4,60.75,3710,29,1944-01-27
1944,7,27,1,4,60.75,3710,30,1944-01-27
1944,7,27,1,4,60.75,3710,30,1944-01-27
1944,10,27,1,4,62.25,4000,34,1944-01-27
1944,10,27,1,5,62.25,4000,33,1944-01-27
1944,7,27,1,5,62.25,4000,32,1944-01-27
1944,11,27,1,5,62.25,4000,35,1944-01-27
1944,10,27,1,5,62.25,4000,34,1944-01-27
1944,8,27,1,5,62.25,4000,33,1944-01-27
1944,11,27,1,4,62.25,4000,34,1944-01-27
1944,12,27,1,5,62.25,4000,35,1944-01-27
1944,11,27,1,5,62.25,4000,32,1944-01-27
1944,13,27,1,5,62.25,4000,33,1944-01-27
1944,12,27,1,4,62.25,4000,33,1944-01-27
1944,9,27,1,5,62.25,4000,30,1944-01-27
1944,7,27,1,5,62.25,4000,30,1944-01-27
1944,10,27,1,5,62.25,4000,32,1944-01-27
1944,12,27,1,5,62.25,4000,32,1944-01-27
1944,9,27,1,5,62.25,4000,33,1944-01-27
1944,9,27,1,5,62.25,4000,33,1944-01-27
1944,11,27,1,5,62.25,4000,34,1944-01-27
1944,12,27,1,5,62.25,4000,34,1944-01-27
1944,10,27,1,5,62.25,4000,32,1944-01-27
1944,10,27,1,5,62.25,4000,32,1944-01-27
1944,11,27,1,5,62.25,4000,33,1944-01-27
1944,14,27,1,5,62.25,4000,34,1944-01-27
